Estado,vacunados,descarga
Aguascalientes,672046,14-Aug-2021 (14:47:45)
Baja California,2619957,14-Aug-2021 (14:47:45)
Baja California Sur,495096,14-Aug-2021 (14:47:45)
Campeche,339468,14-Aug-2021 (14:47:45)
Chiapas,1084785,14-Aug-2021 (14:47:45)
Chihuahua,2330506,14-Aug-2021 (14:47:45)
Coahuila,1422268,14-Aug-2021 (14:47:45)
Colima,340099,14-Aug-2021 (14:47:45)
CDMX,7141549,14-Aug-2021 (14:47:45)
Durango,673625,14-Aug-2021 (14:47:45)
Guerrero,1100838,14-Aug-2021 (14:47:45)
Hidalgo,1341619,14-Aug-2021 (14:47:45)
Jalisco,2951668,14-Aug-2021 (14:47:45)
Estado de México,6954905,14-Aug-2021 (14:47:45)
Michoacán,1615778,14-Aug-2021 (14:47:45)
Morelos,862767,14-Aug-2021 (14:47:45)
Nayarit,517765,14-Aug-2021 (14:47:45)
Nuevo León,2557127,14-Aug-2021 (14:47:45)
Oaxaca,1250683,14-Aug-2021 (14:47:45)
Puebla,1579490,14-Aug-2021 (14:47:45)
Querétaro,966324,14-Aug-2021 (14:47:45)
Quintana Roo,779936,14-Aug-2021 (14:47:45)
San Luis Potosí,1143918,14-Aug-2021 (14:47:45)
Sinaloa,1732466,14-Aug-2021 (14:47:45)
Sonora,1389838,14-Aug-2021 (14:47:45)
Tabasco,964660,14-Aug-2021 (14:47:45)
Tamaulipas,1604805,14-Aug-2021 (14:47:45)
Tlaxcala,532018,14-Aug-2021 (14:47:45)
Veracruz,2820734,14-Aug-2021 (14:47:45)
Yucatán,1413533,14-Aug-2021 (14:47:45)
Zacatecas,752720,14-Aug-2021 (14:47:45)
Guanajuato,2589607,14-Aug-2021 (14:47:45)
